word,money,landscape,fun
가치,0.5,0.5,0.5
감동,0,0.8,0.8
감상,0,0.9,0.4
걸작,0,1,0.2
고가,0.8,0,0
고정,0.3,0,0
괜찮다,0.6,0.7,0.8
그림,0,0.8,0.2
그림같은,0,1,0.2
기쁘다,0,0.2,0.9
깊고,0,0.6,0
깊다,0,0.6,0
꿈,0,0.6,0.6
나쁘다,0.5,0.6,0.8
놀랍다,0,0.7,0.9
높다,0.7,0.2,0
낮다,0.7,0,0
눈부시다,0,0.8,0.4
다양,0,0.8,0.7
단순,0,0.6,0.8
대표,0,0.5,0.9
독특,0,0.8,0.7
동화,0,0.8,0.7
마법,0,0.4,0.8
만족,0.5,0.8,0.8
매력,0,0.8,0.7
매료,0,0.9,0.7
매혹,0,0.9,0.7
멋지다,0.2,0.9,0.8
무료,1,0,0
별로다,0.1,0.8,0.8
부과,0.8,0,0
불행,0.2,0.6,0.6
비슷,0.6,0.5,0.5
비싸다,1,0,0
비효율,0.8,0,0
새롭다,0,0.3,0.9
성능,0.7,0,0
성스럽다,0,0.7,0.6
세심,0,0.3,0
신비하다,0,0.7,0.6
신성한,0,0.5,0
실망,0.2,0.8,1
아름답다,0,0.9,0.7
않다,0,0.5,0
어렵다,0,0.3,0.7
없다,0.1,0.2,0
예쁘다,0,0.8,0.2
완벽,0.2,0.7,0.3
인내심,0,0,0.7
장관,0,1,0.3
재미,0,0.5,1
저렴,1,0,0
적당,0.5,0.3,0.8
적합,0.5,0.3,0.4
좋다,0.3,0.8,0.8
좋아하다,0,0.6,0.8
즐겁다,0,0.7,1
즐기다,0,0.7,1
청구,0.9,0,0
최고,0.1,0.8,0.8
추억,0,0.5,0.8
추천,0.4,0.5,0.8
충격,0.5,0.8,0.5
파라다이스,0,0.7,0.8
편리,0,0,0.3
행복,0,0.5,0.8
활기차다,0,0.3,0.7
효과,0.7,0,0
효율,0.8,0,0
후회,0,0.8,0.8
훌륭,0.1,0.8,0.8
흥미,0,0.2,0.9
힘들다,0,0,0.8
유명,0,0.5,0.5
비싸지,1,0,0
저렴하지는,1,0,0
화려하다,0,0.8,0.6
천국,0,0.8,0.6
많다,0,0.6,0.6
굉장하다,0,0.4,0.7
